³¤¶È,X,Y,ORIG_FID,
27.25,-189.050003,-2.206399,0,c
27.25,-161.800003,-2.206399,0,s
1.94313,-161.800003,-2.206399,1,l
1.94313,-161.800003,-4.149529,1,h
22.25,-161.800003,-2.206399,2,
22.25,-139.550003,-2.206399,2,
2.543129,-139.550003,-2.206399,3,
2.543129,-139.550003,-4.749529,3,
12.0993,-139.550003,-2.206399,4,
12.0993,-127.449996,-2.206399,4,
1.843029,-127.449996,-2.206399,5,
1.843029,-127.449996,-4.049429,5,
22.7252,-127.449996,-2.206399,6,
22.7252,-104.724998,-2.206399,6,
6.756869,-104.724998,-2.206399,7,
6.756869,-104.724998,4.550469,7,
3.48549,-104.724998,4.550469,8,
3.48549,-101.239997,4.55561,8,
12.361,-115.849998,12.546899,9,
12.361,-115.849998,11.300499,9,
12.361,-104.735,11.300499,9,
6.75001,-104.735,11.300499,10,
6.75001,-104.724998,4.550469,10,
14.8161,-104.735,11.300499,11,
14.8161,-89.918998,11.300499,11,
7.41623,-89.918998,11.300499,12,
7.41623,-89.918998,18.716699,12,
3.952909,-89.918998,11.300499,13,
3.952909,-85.966102,11.300499,13,
9.276439,-85.966102,11.300499,14,
9.276439,-85.966102,2.024029,14,
9.037899,-85.966102,2.024029,15,
9.037899,-76.928199,2.024029,15,
4.23043,-85.966102,2.024029,16,
4.23043,-85.966102,-2.206399,16,
9.724399,-104.724998,-2.206399,17,
9.724399,-95.000701,-2.206399,17,
15.517399,-95.000701,-2.206399,18,
15.517399,-95.000701,-17.7238,18,
1.488549,-95.000701,-17.7238,19,
1.488549,-96.489303,-17.7238,19,
14.3498,-95.000701,-17.7238,20,
14.3498,-95.000701,-32.0736,20,
1.677,-95.000701,-32.0736,21,
1.677,-96.677696,-32.0736,21,
9.034609,-95.000701,-2.206399,22,
9.034609,-85.966102,-2.206399,22,
10.6,-85.966102,-2.206399,23,
10.6,-85.966102,-12.8064,23,
0.771019,-85.966102,-12.8064,24,
0.771019,-85.195098,-12.8064,24,
19.2672,-85.966102,-12.8064,25,
19.2672,-85.966102,-32.0736,25,
9.034609,-85.966102,-32.0736,26,
9.034609,-95.000701,-32.0736,26,
5.16647,-85.966102,-32.0736,27,
5.16647,-80.799598,-32.0736,27,
14.0635,-80.799598,-32.0736,28,
14.0635,-80.799598,-18.010099,28,
5.16647,-75.633201,-32.0736,29,
5.16647,-80.799598,-32.0736,29,
10.6,-75.633201,-2.206399,30,
10.6,-75.633201,-12.8064,30,
0.771019,-75.633201,-12.8064,31,
