FID_,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,³¤¶È,X,Y,ORIG_FID
,Line,0,146,Continuous,0,25, ,7.56116,-132.817993,-2.31961,0
,Line,0,146,Continuous,0,25, ,7.56116,-125.257003,-2.31961,0
,Line,0,146,Continuous,0,25, ,1.36658,-125.257003,-2.31961,1
,Line,0,146,Continuous,0,25, ,1.36658,-125.257003,-3.686189,1
,Line,0,146,Continuous,0,25, ,14.9111,-125.257003,-2.31961,2
,Line,0,146,Continuous,0,25, ,14.9111,-110.346,-2.31961,2
,Line,0,146,Continuous,0,25, ,1.372619,-110.346,-2.31961,3
,Line,0,146,Continuous,0,25, ,1.372619,-110.346,-3.692219,3
,Line,0,146,Continuous,0,25, ,5.584599,-110.346,-2.31961,4
,Line,0,146,Continuous,0,25, ,5.584599,-104.762001,-2.31961,4
,Line,0,146,Continuous,0,25, ,6.69387,-104.762001,-2.31961,5
,Line,0,146,Continuous,0,25, ,6.69387,-104.762001,4.374259,5
,Line,0,146,Continuous,0,25, ,2.98794,-104.762001,4.374259,6
,Line,0,146,Continuous,0,25, ,2.98794,-101.774002,4.374259,6
,Line,0,146,Continuous,0,25, ,6.92524,-104.762001,4.374259,7
,Line,0,146,Continuous,0,25, ,6.92524,-104.762001,11.2995,7
,Line,0,146,Continuous,0,25, ,11.132699,-104.762001,11.2995,8
,Line,0,146,Continuous,0,25, ,11.132699,-115.893997,11.2995,8
,Line,0,146,Continuous,0,25, ,1.153789,-115.893997,11.2995,9
,Line,0,146,Continuous,0,25, ,1.153789,-115.893997,12.4533,9
,Line,0,146,Continuous,0,25, ,2.19156,-104.762001,11.2995,10
,Line,0,146,Continuous,0,25, ,2.19156,-104.762001,13.4911,10
,Line,0,146,Continuous,0,25, ,18.571599,-104.762001,11.2995,11
,Line,0,146,Continuous,0,25, ,18.571599,-86.189903,11.2995,11
,Line,0,146,Continuous,0,25, ,1.410599,-86.189903,11.2995,12
,Line,0,146,Continuous,0,25, ,1.410599,-86.189903,12.7101,12
,Line,0,146,Continuous,0,25, ,6.09462,-104.762001,-2.31961,13
,Line,0,146,Continuous,0,25, ,6.09462,-98.666999,-2.31961,13
,Line,0,146,Continuous,0,25, ,1.4038,-98.666999,-2.31961,14
,Line,0,146,Continuous,0,25, ,1.4038,-98.666999,-3.7234,14
,Line,0,146,Continuous,0,25, ,14.988499,-84.351997,11.2995,15
,Line,0,146,Continuous,0,25, ,14.988499,-78.093002,-2.31961,15
,Line,0,146,Continuous,0,25, ,20.573999,-98.666999,-2.31961,16
,Line,0,146,Continuous,0,25, ,20.573999,-78.093002,-2.31961,16
,Line,0,146,Continuous,0,25, ,1.837919,-86.189903,11.2995,17
